full_name,html_url,languages,fork,branchs,forks,stars,tags
mojombo/grit,https://github.com/mojombo/grit,{'Ruby': 219981},False,3.0,542.0,1955.0,15.0
wycats/merb-core,https://github.com/wycats/merb-core,"{'Ruby': 948883, 'JavaScript': 8925}",False,14.0,61.0,435.0,9.0
rubinius/rubinius,https://github.com/rubinius/rubinius,"{'C': 23606977, 'Ruby': 10652649, 'C++': 3261903, 'Shell': 1235618, 'Makefile': 866911, 'Assembly': 787717, 'Objective-C': 643227, 'TeX': 393275, 'Roff': 224027, 'M4': 143616, 'Ada': 89080, 'Pascal': 70297, 'C#': 55626, 'HTML': 46773, 'DIGITAL Command Language': 27303, 'Perl': 17595, 'CMake': 17089, 'DTrace': 7173, 'Python': 6613, 'CLIPS': 5291, 'Batchfile': 4779, 'SAS': 1847, 'Module Management System': 1545, 'PHP': 498, 'GDB': 383, 'VBScript': 294}",False,8.0,604.0,3027.0,199.0
mojombo/god,https://github.com/mojombo/god,"{'Ruby': 283939, 'C': 9261, 'CSS': 6486, 'JavaScript': 6329, 'HTML': 2576, 'Shell': 788}",False,12.0,508.0,2193.0,32.0
vanpelt/jsawesome,https://github.com/vanpelt/jsawesome,"{'JavaScript': 126588, 'Ruby': 9677}",False,1.0,7.0,68.0,0.0
wycats/jspec,https://github.com/wycats/jspec,{'JavaScript': 48977},False,1.0,13.0,83.0,0.0
defunkt/exception_logger,https://github.com/defunkt/exception_logger,"{'Ruby': 10936, 'JavaScript': 1531}",False,1.0,92.0,242.0,0.0
defunkt/ambition,https://github.com/defunkt/ambition,"{'Ruby': 21237, 'JavaScript': 2032}",False,2.0,25.0,165.0,0.0
technoweenie/restful-authentication,https://github.com/technoweenie/restful-authentication,{'Ruby': 145649},False,5.0,280.0,1577.0,0.0
technoweenie/attachment_fu,https://github.com/technoweenie/attachment_fu,{'Ruby': 132960},False,3.0,324.0,1022.0,0.0
caged/microsis,https://github.com/caged/microsis,"{'JavaScript': 124846, 'Ruby': 815}",False,3.0,7.0,22.0,2.0
anotherjesse/s3,https://github.com/anotherjesse/s3,"{'JavaScript': 40947, 'Ruby': 160}",False,4.0,11.0,35.0,6.0
anotherjesse/taboo,https://github.com/anotherjesse/taboo,"{'JavaScript': 82130, 'Ruby': 1735}",False,12.0,17.0,28.0,12.0
anotherjesse/foxtracs,https://github.com/anotherjesse/foxtracs,{'JavaScript': 25985},False,1.0,6.0,13.0,0.0
anotherjesse/fotomatic,https://github.com/anotherjesse/fotomatic,"{'ActionScript': 4239, 'Ruby': 177}",False,1.0,8.0,15.0,0.0
mojombo/glowstick,https://github.com/mojombo/glowstick,{'Ruby': 4624},False,1.0,13.0,33.0,0.0
defunkt/starling,https://github.com/defunkt/starling,{'Ruby': 35715},False,2.0,10.0,71.0,0.0
wycats/merb-more,https://github.com/wycats/merb-more,{},False,5.0,35.0,185.0,9.0
macournoyer/thin,https://github.com/macournoyer/thin,"{'Ruby': 234048, 'C': 41845, 'HTML': 19495, 'Ragel': 5790, 'CSS': 2210, 'Shell': 1433, 'JavaScript': 148}",False,7.0,346.0,2202.0,38.0
jamesgolick/resource_controller,https://github.com/jamesgolick/resource_controller,{'Ruby': 120261},False,5.0,101.0,499.0,17.0
jamesgolick/markaby,https://github.com/jamesgolick/markaby,{'Ruby': 68339},False,1.0,11.0,23.0,0.0
jamesgolick/enum_field,https://github.com/jamesgolick/enum_field,{'Ruby': 4975},False,1.0,19.0,53.0,2.0
defunkt/subtlety,https://github.com/defunkt/subtlety,{'Ruby': 8890},False,1.0,9.0,14.0,0.0
defunkt/zippy,https://github.com/defunkt/zippy,{'Ruby': 8833},False,1.0,9.0,15.0,0.0
defunkt/cache_fu,https://github.com/defunkt/cache_fu,{'Ruby': 16532},False,1.0,78.0,254.0,0.0
KirinDave/phosphor,https://github.com/KirinDave/phosphor,{},False,1.0,5.0,8.0,0.0
bmizerany/sinatra,https://github.com/bmizerany/sinatra,"{'Ruby': 280044, 'CoffeeScript': 13}",True,6.0,2072.0,920.0,2.0
jnewland/gsa-prototype,https://github.com/jnewland/gsa-prototype,"{'JavaScript': 121223, 'Ruby': 674}",False,1.0,9.0,12.0,0.0
technoweenie/duplikate,https://github.com/technoweenie/duplikate,{'Ruby': 10103},False,1.0,7.0,25.0,0.0
jnewland/lazy_record,https://github.com/jnewland/lazy_record,{'Ruby': 5332},False,1.0,4.0,13.0,0.0
jnewland/gsa-feeds,https://github.com/jnewland/gsa-feeds,"{'Ruby': 44151, 'JavaScript': 25082}",False,1.0,5.0,7.0,0.0
jnewland/votigoto,https://github.com/jnewland/votigoto,"{'Ruby': 41169, 'JavaScript': 25082}",False,1.0,6.0,10.0,0.0
defunkt/mofo,https://github.com/defunkt/mofo,"{'JavaScript': 115666, 'Ruby': 44672}",False,1.0,26.0,89.0,0.0
jnewland/xhtmlize,https://github.com/jnewland/xhtmlize,{'Ruby': 852},False,1.0,5.0,10.0,0.0
ruby-git/ruby-git,https://github.com/ruby-git/ruby-git,"{'Ruby': 226407, 'Shell': 46905, 'Perl': 3327, 'Roff': 492}",False,18.0,510.0,1662.0,31.0
ezmobius/bmhsearch,https://github.com/ezmobius/bmhsearch,"{'C': 8759, 'Ruby': 98}",False,1.0,6.0,9.0,0.0
uggedal/mofo,https://github.com/uggedal/mofo,"{'JavaScript': 115666, 'Ruby': 43506}",True,1.0,26.0,4.0,0.0
mmower/simply_versioned,https://github.com/mmower/simply_versioned,{'Ruby': 19705},False,1.0,8.0,40.0,0.0
abhay/gchart,https://github.com/abhay/gchart,{'Ruby': 26381},False,1.0,17.0,37.0,0.0
benburkert/schemr,https://github.com/benburkert/schemr,{'Ruby': 85983},False,1.0,4.0,6.0,0.0
abhay/calais,https://github.com/abhay/calais,{'Ruby': 24665},False,1.0,52.0,135.0,13.0
mojombo/chronic,https://github.com/mojombo/chronic,{'Ruby': 217123},False,3.0,466.0,3149.0,22.0
sr/git-wiki,https://github.com/sr/git-wiki,{'Ruby': 4618},False,1.0,238.0,531.0,0.0
queso/signal-wiki,https://github.com/queso/signal-wiki,"{'Ruby': 85817, 'JavaScript': 32522}",False,1.0,14.0,71.0,0.0
drnic/ruby-on-rails-tmbundle,https://github.com/drnic/ruby-on-rails-tmbundle,"{'Ruby': 111970, 'JavaScript': 25082}",False,3.0,166.0,897.0,0.0
danwrong/low-pro-for-jquery,https://github.com/danwrong/low-pro-for-jquery,{'JavaScript': 12728},False,1.0,20.0,135.0,0.0
wayneeseguin/merb-core,https://github.com/wayneeseguin/merb-core,"{'Ruby': 310480, 'JavaScript': 8926}",True,2.0,61.0,6.0,0.0
sr/dst,https://github.com/sr/dst,{'Ruby': 9182},False,1.0,4.0,9.0,0.0
mojombo/yaws,https://github.com/mojombo/yaws,"{'Erlang': 806248, 'JavaScript': 28474, 'Shell': 25479, 'Makefile': 19051, 'HTML': 16634, 'C': 11922, 'Emacs Lisp': 4389, 'Java': 3585, 'CSS': 3265, 'Groff': 1013}",False,1.0,10.0,42.0,0.0
KirinDave/yaws,https://github.com/KirinDave/yaws,"{'Erlang': 806301, 'JavaScript': 28474, 'Shell': 25479, 'Makefile': 19051, 'HTML': 16634, 'C': 11922, 'Emacs Lisp': 4389, 'Java': 3585, 'CSS': 3265, 'Groff': 1013}",True,1.0,10.0,10.0,0.0
sr/tasks,https://github.com/sr/tasks,{'Ruby': 6762},False,1.0,3.0,7.0,0.0
mattetti/ruby-on-rails-tmbundle,https://github.com/mattetti/ruby-on-rails-tmbundle,{'Ruby': 89664},True,3.0,166.0,5.0,0.0
grempe/amazon-ec2,https://github.com/grempe/amazon-ec2,{'Ruby': 370773},False,2.0,114.0,437.0,59.0
wayneeseguin/merblogger,https://github.com/wayneeseguin/merblogger,"{'JavaScript': 605642, 'Ruby': 111425}",False,1.0,5.0,18.0,0.0
wayneeseguin/merbtastic,https://github.com/wayneeseguin/merbtastic,{},False,1.0,4.0,6.0,0.0
wayneeseguin/alogr,https://github.com/wayneeseguin/alogr,"{'Ruby': 10865, 'C': 3675}",False,1.0,4.0,13.0,0.0
wayneeseguin/autozest,https://github.com/wayneeseguin/autozest,{'Ruby': 13083},False,1.0,3.0,7.0,0.0
wayneeseguin/rnginx,https://github.com/wayneeseguin/rnginx,{'Ruby': 3828},False,1.0,4.0,6.0,0.0
wayneeseguin/sequel,https://github.com/wayneeseguin/sequel,{'Ruby': 546192},False,1.0,4.0,12.0,0.0
bmizerany/simply_versioned,https://github.com/bmizerany/simply_versioned,{'Ruby': 19705},True,1.0,8.0,7.0,0.0
peterc/switchpipe,https://github.com/peterc/switchpipe,"{'Ruby': 28684, 'Python': 299}",False,1.0,3.0,13.0,0.0
hornbeck/arc,https://github.com/hornbeck/arc,"{'Arc': 203354, 'Scheme': 74465, 'Shell': 486}",False,1.0,5.0,7.0,0.0
up_the_irons/ebay4r,https://github.com/up_the_irons/ebay4r,{'Ruby': 3678613},False,3.0,10.0,32.0,1.0
wycats/merb-plugins,https://github.com/wycats/merb-plugins,"{'JavaScript': 116753, 'Ruby': 102754, 'Perl': 102}",False,3.0,76.0,207.0,12.0
up_the_irons/ram,https://github.com/up_the_irons/ram,"{'Ruby': 287948, 'JavaScript': 35067}",False,1.0,2.0,8.0,0.0
defunkt/ambitious_activeldap,https://github.com/defunkt/ambitious_activeldap,{'Ruby': 8378},False,1.0,6.0,9.0,0.0
atmos/fitter_happier,https://github.com/atmos/fitter_happier,{'Ruby': 3214},False,1.0,5.0,8.0,1.0
brosner/oebfare,https://github.com/brosner/oebfare,"{'JavaScript': 60879, 'Python': 34943, 'Shell': 499}",False,6.0,7.0,46.0,0.0
up_the_irons/credit_card_tools,https://github.com/up_the_irons/credit_card_tools,{'Ruby': 2936},False,2.0,8.0,15.0,0.0
jnicklas/rorem,https://github.com/jnicklas/rorem,{'Ruby': 56694},False,3.0,4.0,6.0,0.0
cristibalan/braid,https://github.com/cristibalan/braid,{'Ruby': 175492},False,3.0,45.0,454.0,36.0
jnicklas/uploadcolumn,https://github.com/jnicklas/uploadcolumn,{'Ruby': 143767},False,1.0,8.0,31.0,1.0
simonjefford/ruby-on-rails-tmbundle,https://github.com/simonjefford/ruby-on-rails-tmbundle,"{'Ruby': 119063, 'JavaScript': 25082}",True,4.0,166.0,5.0,0.0
leahneukirchen/rack-mirror,https://github.com/leahneukirchen/rack-mirror,{'Ruby': 184716},False,1.0,6.0,10.0,3.0
leahneukirchen/coset-mirror,https://github.com/leahneukirchen/coset-mirror,{'Ruby': 17106},False,1.0,2.0,12.0,0.0
drnic/javascript-unittest-tmbundle,https://github.com/drnic/javascript-unittest-tmbundle,{},False,1.0,6.0,16.0,0.0
engineyard/eycap,https://github.com/engineyard/eycap,{'Ruby': 42345},False,14.0,53.0,116.0,37.0
leahneukirchen/gitsum,https://github.com/leahneukirchen/gitsum,{'Emacs Lisp': 7346},False,1.0,14.0,69.0,0.0
wayneeseguin/sequel-model,https://github.com/wayneeseguin/sequel-model,{'Ruby': 123570},False,1.0,3.0,7.0,0.0
kevinclark/god,https://github.com/kevinclark/god,"{'Ruby': 179074, 'C': 8723, 'JavaScript': 6567}",True,4.0,508.0,5.0,0.0
hornbeck/blerb-core,https://github.com/hornbeck/blerb-core,"{'Ruby': 102917, 'JavaScript': 102391, 'PHP': 1052}",False,1.0,5.0,28.0,0.0
brosner/django-mptt,https://github.com/brosner/django-mptt,{'Python': 114230},True,2.0,451.0,60.0,0.0
technomancy/bus-scheme,https://github.com/technomancy/bus-scheme,"{'Ruby': 54320, 'Scheme': 5384}",False,4.0,7.0,35.0,0.0
caged/javascript-bits,https://github.com/caged/javascript-bits,"{'JavaScript': 213271, 'Ruby': 5242}",False,1.0,6.0,34.0,0.0
caged/groomlake,https://github.com/caged/groomlake,{'Ruby': 9181},False,1.0,3.0,6.0,0.0
sevenwire/forgery,https://github.com/sevenwire/forgery,"{'Ruby': 65449, 'HTML': 312}",False,1.0,105.0,790.0,8.0
technicalpickles/ambitious-sphinx,https://github.com/technicalpickles/ambitious-sphinx,{'Ruby': 10725},False,3.0,5.0,15.0,0.0
lazyatom/soup,https://github.com/lazyatom/soup,{'Ruby': 25177},False,3.0,8.0,19.0,19.0
josh/rails,https://github.com/josh/rails,"{'Ruby': 9045191, 'CSS': 126529, 'JavaScript': 7338, 'Bison': 965}",True,2.0,20714.0,35.0,158.0
cdcarter/backpacking,https://github.com/cdcarter/backpacking,"{'Io': 16836, 'CSS': 1152}",False,2.0,7.0,60.0,0.0
jnewland/capsize,https://github.com/jnewland/capsize,"{'Ruby': 109978, 'JavaScript': 25082}",False,1.0,12.0,41.0,0.0
bs/starling,https://github.com/bs/starling,"{'Ruby': 71584, 'JavaScript': 25082}",False,1.0,4.0,23.0,0.0
sr/ape,https://github.com/sr/ape,{'Ruby': 78007},False,2.0,2.0,9.0,0.0
collectiveidea/awesomeness,https://github.com/collectiveidea/awesomeness,{'Ruby': 16911},False,1.0,4.0,47.0,1.0
collectiveidea/audited,https://github.com/collectiveidea/audited,"{'Ruby': 121876, 'JavaScript': 49}",False,14.0,597.0,3089.0,36.0
collectiveidea/acts_as_geocodable,https://github.com/collectiveidea/acts_as_geocodable,{'Ruby': 36969},False,2.0,43.0,207.0,14.0
collectiveidea/acts_as_money,https://github.com/collectiveidea/acts_as_money,{'Ruby': 997},False,1.0,16.0,45.0,1.0
collectiveidea/calendar_builder,https://github.com/collectiveidea/calendar_builder,"{'Ruby': 34700, 'JavaScript': 20126}",False,2.0,7.0,44.0,0.0
collectiveidea/clear_empty_attributes,https://github.com/collectiveidea/clear_empty_attributes,{'Ruby': 2994},False,1.0,6.0,10.0,0.0
collectiveidea/css_naked_day,https://github.com/collectiveidea/css_naked_day,{'Ruby': 613},False,1.0,3.0,5.0,0.0
collectiveidea/imap_authenticatable,https://github.com/collectiveidea/imap_authenticatable,{'Ruby': 11769},False,1.0,7.0,5.0,0.0
collectiveidea/random_finders,https://github.com/collectiveidea/random_finders,{'Ruby': 1682},False,1.0,5.0,15.0,0.0
collectiveidea/with_action,https://github.com/collectiveidea/with_action,{'Ruby': 4062},False,1.0,3.0,24.0,1.0
collectiveidea/graticule,https://github.com/collectiveidea/graticule,"{'Ruby': 88388, 'HTML': 8678, 'CSS': 927}",False,5.0,59.0,300.0,8.0
collectiveidea/tinder,https://github.com/collectiveidea/tinder,"{'Ruby': 35135, 'HTML': 4167, 'CSS': 1014}",False,1.0,95.0,256.0,23.0
macournoyer/invisible,https://github.com/macournoyer/invisible,"{'CSS': 39650, 'Ruby': 36125, 'HTML': 1708}",False,2.0,11.0,51.0,0.0
tommorris/pyprofile,https://github.com/tommorris/pyprofile,{'Python': 12368},False,1.0,2.0,4.0,0.0
